Code,Acronym,Object Class,Definition,Distinction
1,ADMARE,Administration Area (Named),A defined (and possibly named) administrative area. ,land region; contiguous zone; continental shelf area; exclusive economic zone; fishery zone; territorial sea area;
2,AIRARE,Airport/airfield,"An area containing at least one runway, used for landing, take-off, and movement of aircraft. ",runway; sea-plane landing area;
3,ACHBRT,Anchor berth,"A designated area of water where a single vessel, sea plane, etc... may anchor. ",anchorage area; berth; mooring/warping facility;
4,ACHARE,Anchorage area,"An area in which vessels anchor or may anchor. (IHO Dictionary, S-32, 5th Edition, 130) ",anchor berth; mooring/warping facility;
5,BCNCAR,"Beacon, cardinal","A beacon is a prominent, specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey (IHO Dictionary, S-32, 5th Edition, 420). A cardinal beacon is used in conjunction with the compass to indicate where the mariner may find the best navigable water.  It is placed in one of the four quadrants (North, East, South and West), bounded by inter-cardinal bearings from the point marked. (UKHO NP 735, 5th Edition) ",daymark; beacon lateral; beacon safe water; beacon isolated danger; beacon special purpose/general;
6,BCNISD,"Beacon, isolated danger","A beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey (IHO Dictionary, S-32, 5th Edition, 420).  An isolated danger beacon is a beacon erected on an isolated danger of limited extent, which has navigable water all around it. (UKHO NP735, 5th Edition) ",daymark; beacon lateral; beacon safe water; beacon cardinal; beacon special purpose/general;
7,BCNLAT,"Beacon, lateral","A beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey (IHO Dictionary, S-32, 5th Edition, 420). A lateral beacon is used to indicate the port or starboard hand side of the route to be followed.  They are generally used for well defined channels and are used in conjunction with a conventional direction of buoyage. (UKHO NP 735, 5th Edition) ",daymark; beacon cardinal; beacon safe water; beacon isolated danger; beacon special purpose/general;
8,BCNSAW,"Beacon, safe water","A safe water beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey (IHO Dictionary, S-32, 5th Edition, 420).  A safe water beacon may be used to indicate that there is navigable water around the mark. (UKHO NP735, 5th Edition) ",daymark; beacon cardinal; beacon lateral; beacon isolated danger; beacon special purpose/general;
9,BCNSPP,"Beacon, special purpose/general","A beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey (IHO Dictionary, S-32, 5th Edition, 420).  A special purpose beacon is primarily used to indicate an area or feature, the nature of which is apparent from reference to a chart, Sailing Directions or Notices to Mariners. (UKHO NP 735, 5th Edition) Beacon in general: A beacon whose appearance or purpose is not adequately known. ",daymark; beacon lateral; beacon safe water; beacon isolated danger; beacon cardinal; distance mark;
10,BERTHS,Berth,"A named or numbered place where a vessel is moored at a wharf. (IHO Dictionary, S-32, 5th Edition, 470) ",anchor berth; dock area; mooring/warping facility; shoreline construction;
